 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.20826   3296.98535      0.00000    13.2221     0.8345    -2.5000    19.7733    57.4054   310.8226     1.0576     994584.000    0.00000   57.19430
     0.20965   3328.10620      0.00000    13.2174     0.8392    -2.5000    20.0845    57.7166   313.9593     1.0576    1011154.562    0.00000   57.06180
     0.21104   3359.10254      0.00000    13.2126     0.8439    -2.5000    20.3949    58.0270   317.0852     1.0576    1027880.438    0.00000   56.93182
     0.21243   3389.97607      0.00000    13.2078     0.8485    -2.5000    20.7046    58.3367   320.2005     1.0576    1044760.875    0.00000   56.80431
     0.21382   3420.72754      0.00000    13.2030     0.8531    -2.5000    21.0137    58.6458   323.3053     1.0576    1061795.250    0.00000   56.67918
     0.21521   3451.35889      0.00000    13.1980     0.8577    -2.5000    21.3220    58.9541   326.3998     1.0576    1078983.000    0.00000   56.55632
     0.21660   3481.87061      0.00000    13.1931     0.8622    -2.5000    21.6297    59.2618   329.4840     1.0576    1096323.750    0.00000   56.43568
     0.21799   3512.26514      0.00000    13.1881     0.8667    -2.5000    21.9368    59.5689   332.5582     1.0576    1113816.750    0.00000   56.31717
     0.21937   3542.54199      0.00000    13.1830     0.8712    -2.5000    22.2432    59.8753   335.6223     1.0576    1131461.375    0.00000   56.20074
     0.22076   3572.70190      0.00000    13.1779     0.8757    -2.5000    22.5490    60.1811   338.6765     1.0576    1149257.125    0.00000   56.08627
     0.22215   3602.74561      0.00000    13.1728     0.8801    -2.5000    22.8542    60.4863   341.7208     1.0576    1167203.375    0.00000   55.97365
     0.22354   3632.67334      0.00000    13.1676     0.8845    -2.5000    23.1587    60.7908   344.7552     1.0576    1185299.625    0.00000   55.86291
     0.22493   3662.48901      0.00000    13.1623     0.8888    -2.5000    23.4627    61.0948   347.7801     1.0576    1203545.000    0.00000   55.75398
     0.22632   3692.19092      0.00000    13.1571     0.8931    -2.5000    23.7661    61.3982   350.7954     1.0576    1221939.250    0.00000   55.64676
     0.22771   3721.77881      0.00000    13.1517     0.8974    -2.5000    24.0689    61.7010   353.8011     1.0576    1240481.500    0.00000   55.54120
     0.22910   3751.25464      0.00000    13.1463     0.9017    -2.5000    24.3711    62.0032   356.7973     1.0576    1259171.500    0.00000   55.43722
     0.23049   3780.61987      0.00000    13.1409     0.9059    -2.5000    24.6728    62.3049   359.7842     1.0576    1278008.625    0.00000   55.33484
     0.23188   3809.87378      0.00000    13.1354     0.9101    -2.5000    24.9739    62.6060   362.7618     1.0576    1296992.125    0.00000   55.23393
     0.23326   3839.01660      0.00000    13.1299     0.9143    -2.5000    25.2745    62.9065   365.7301     1.0576    1316121.625    0.00000   55.13448
     0.23465   3868.04956      0.00000    13.1244     0.9184    -2.5000    25.5745    63.2066   368.6892     1.0576    1335396.625    0.00000   55.03645
     0.23604   3896.97412      0.00000    13.1187     0.9225    -2.5000    25.8740    63.5061   371.6393     1.0576    1354816.500    0.00000   54.93975
     0.23743   3925.78857      0.00000    13.1131     0.9266    -2.5000    26.1730    63.8051   374.5802     1.0576    1374380.750    0.00000   54.84439
     0.23882   3954.49561      0.00000    13.1074     0.9307    -2.5000    26.4714    64.1035   377.5121     1.0576    1394088.875    0.00000   54.75033
     0.24021   3983.09521      0.00000    13.1016     0.9347    -2.5000    26.7694    64.4015   380.4351     1.0576    1413940.000    0.00000   54.65751
     0.24160   4011.58691      0.00000    13.0958     0.9387    -2.5000    27.0668    64.6989   383.3491     1.0576    1433933.875    0.00000   54.56590
     0.24299   4039.97168      0.00000    13.0900     0.9427    -2.5000    27.3638    64.9959   386.2543     1.0576    1454070.000    0.00000   54.47544
     0.24438   4068.24951      0.00000    13.0841     0.9466    -2.5000    27.6602    65.2923   389.1507     1.0576    1474347.625    0.00000   54.38610
     0.24576   4096.41943      0.00000    13.0782     0.9506    -2.5000    27.9562    65.5883   392.0382     1.0576    1494766.375    0.00000   54.29784
     0.24715   4124.48584      0.00000    13.0722     0.9545    -2.5000    28.2517    65.8838   394.9170     1.0576    1515325.750    0.00000   54.21069
     0.24854   4152.44629      0.00000    13.0662     0.9583    -2.5000    28.5468    66.1789   397.7872     1.0576    1536025.125    0.00000   54.12457
     0.24993   4180.30029      0.00000    13.0601     0.9622    -2.5000    28.8413    66.4734   400.6487     1.0576    1556864.000    0.00000   54.03944
     0.25132   4208.05029      0.00000    13.0540     0.9660    -2.5000    29.1354    66.7675   403.5016     1.0576    1577841.875    0.00000   53.95527
     0.25271   4235.69434      0.00000    13.0478     0.9698    -2.5000    29.4291    67.0612   406.3459     1.0576    1598958.250    0.00000   53.87204
     0.25410   4263.23535      0.00000    13.0416     0.9736    -2.5000    29.7223    67.3544   409.1815     1.0576    1620212.625    0.00000   53.78976
     0.25549   4290.66895      0.00000    13.0354     0.9774    -2.5000    30.0150    67.6471   412.0086     1.0576    1641604.500    0.00000   53.70833
     0.25688   4318.00098      0.00000    13.0291     0.9811    -2.5000    30.3073    67.9394   414.8273     1.0576    1663133.000    0.00000   53.62783
     0.25826   4345.22852      0.00000    13.0227     0.9848    -2.5000    30.5992    68.2313   417.6375     1.0576    1684798.000    0.00000   53.54813
     0.25965   4372.35352      0.00000    13.0163     0.9885    -2.5000    30.8907    68.5228   420.4394     1.0576    1706598.875    0.00000   53.46925
     0.26104   4399.37451      0.00000    13.0099     0.9921    -2.5000    31.1817    68.8138   423.2328     1.0576    1728535.000    0.00000   53.39116
     0.26243   4426.29199      0.00000    13.0034     0.9958    -2.5000    31.4723    69.1044   426.0179     1.0576    1750605.875    0.00000   53.31384
     0.26382   4453.10693      0.00000    12.9969     0.9994    -2.5000    31.7625    69.3946   428.7944     1.0576    1772811.125    0.00000   53.23730
     0.26521   4479.81836      0.00000    12.9903     1.0030    -2.5000    32.0522    69.6843   431.5628     1.0576    1795150.250    0.00000   53.16145
     0.26660   4506.42773      0.00000    12.9837     1.0066    -2.5000    32.3416    69.9737   434.3228     1.0576    1817622.625    0.00000   53.08636
     0.26799   4532.93506      0.00000    12.9770     1.0101    -2.5000    32.6305    70.2626   437.0746     1.0576    1840227.750    0.00000   53.01196
     0.26937   4559.33887      0.00000    12.9703     1.0136    -2.5000    32.9191    70.5512   439.8181     1.0576    1862965.000    0.00000   52.93821
     0.27076   4585.64014      0.00000    12.9636     1.0171    -2.5000    33.2072    70.8393   442.5533     1.0576    1885834.125    0.00000   52.86511
     0.27215   4611.83984      0.00000    12.9568     1.0206    -2.5000    33.4950    71.1271   445.2802     1.0576    1908834.375    0.00000   52.79266
     0.27354   4637.93652      0.00000    12.9500     1.0241    -2.5000    33.7823    71.4144   447.9989     1.0576    1931965.375    0.00000   52.72083
     0.27493   4663.93164      0.00000    12.9431     1.0275    -2.5000    34.0693    71.7014   450.7095     1.0576    1955226.625    0.00000   52.64959
     0.27632   4689.82568      0.00000    12.9361     1.0309    -2.5000    34.3559    71.9879   453.4119     1.0576    1978617.500    0.00000   52.57896
     0.27771   4715.61523      0.00000    12.9292     1.0343    -2.5000    34.6420    72.2741   456.1059     1.0576    2002137.625    0.00000   52.50892
     0.27910   4741.30566      0.00000    12.9221     1.0377    -2.5000    34.9279    72.5600   458.7920     1.0576    2025786.375    0.00000   52.43941
