 
    Time(hr),     Qbreach,    Qspill,    zs_upstr, zs_downstr, zb_breach, B_bottom,    B_top,  Areabreach, Brchsideslope, Vol_watout, USSedRate, DSSedRate 
     0.22493      0.10716      0.00000     0.0450     0.0358     0.0000     6.9925     7.1444     0.2824    17.1098       1029.385    0.00000    0.00644
     0.22632      0.10434      0.00000     0.0442     0.0352     0.0000     6.9987     7.1506     0.2780    17.1098       1029.914    0.00000    0.00634
     0.22771      0.10161      0.00000     0.0434     0.0347     0.0000     7.0048     7.1567     0.2736    17.1098       1030.428    0.00000    0.00623
     0.22910      0.09898      0.00000     0.0427     0.0341     0.0000     7.0108     7.1627     0.2694    17.1098       1030.929    0.00000    0.00613
     0.23049      0.09643      0.00000     0.0420     0.0336     0.0000     7.0167     7.1687     0.2652    17.1098       1031.416    0.00000    0.00603
     0.23188      0.09397      0.00000     0.0413     0.0331     0.0000     7.0225     7.1745     0.2612    17.1098       1031.892    0.00000    0.00593
     0.23326      0.09159      0.00000     0.0406     0.0326     0.0000     7.0282     7.1802     0.2572    17.1098       1032.355    0.00000    0.00584
     0.23465      0.08929      0.00000     0.0400     0.0321     0.0000     7.0339     7.1858     0.2534    17.1098       1032.807    0.00000    0.00575
     0.23604      0.08707      0.00000     0.0393     0.0316     0.0000     7.0394     7.1914     0.2496    17.1098       1033.247    0.00000    0.00566
     0.23743      0.08492      0.00000     0.0387     0.0311     0.0000     7.0449     7.1968     0.2459    17.1098       1033.676    0.00000    0.00557
     0.23882      0.08284      0.00000     0.0381     0.0307     0.0000     7.0502     7.2022     0.2423    17.1098       1034.095    0.00000    0.00548
     0.24021      0.08083      0.00000     0.0375     0.0302     0.0000     7.0555     7.2075     0.2388    17.1098       1034.504    0.00000    0.00540
     0.24160      0.07888      0.00000     0.0369     0.0298     0.0000     7.0607     7.2127     0.2353    17.1098       1034.902    0.00000    0.00532
     0.24299      0.07699      0.00000     0.0363     0.0293     0.0000     7.0659     7.2178     0.2320    17.1098       1035.292    0.00000    0.00524
     0.24438      0.07516      0.00000     0.0357     0.0289     0.0000     7.0709     7.2229     0.2287    17.1098       1035.672    0.00000    0.00516
     0.24576      0.07339      0.00000     0.0352     0.0285     0.0000     7.0759     7.2278     0.2255    17.1098       1036.042    0.00000    0.00508
     0.24715      0.07168      0.00000     0.0347     0.0281     0.0000     7.0808     7.2327     0.2223    17.1098       1036.405    0.00000    0.00500
     0.24854      0.07002      0.00000     0.0342     0.0277     0.0000     7.0856     7.2376     0.2192    17.1098       1036.758    0.00000    0.00493
     0.24993      0.06841      0.00000     0.0336     0.0273     0.0000     7.0904     7.2423     0.2162    17.1098       1037.104    0.00000    0.00486
     0.25132      0.06684      0.00000     0.0331     0.0270     0.0000     7.0951     7.2470     0.2133    17.1098       1037.442    0.00000    0.00479
     0.25271      0.06533      0.00000     0.0327     0.0266     0.0000     7.0997     7.2516     0.2104    17.1098       1037.772    0.00000    0.00472
     0.25410      0.06386      0.00000     0.0322     0.0262     0.0000     7.1042     7.2562     0.2075    17.1098       1038.094    0.00000    0.00465
     0.25549      0.06243      0.00000     0.0317     0.0259     0.0000     7.1087     7.2607     0.2048    17.1098       1038.410    0.00000    0.00459
     0.25688      0.06105      0.00000     0.0313     0.0255     0.0000     7.1132     7.2651     0.2021    17.1098       1038.718    0.00000    0.00452
     0.25826      0.05971      0.00000     0.0308     0.0252     0.0000     7.1175     7.2695     0.1994    17.1098       1039.020    0.00000    0.00446
     0.25965      0.05840      0.00000     0.0304     0.0249     0.0000     7.1218     7.2738     0.1968    17.1098       1039.314    0.00000    0.00440
     0.26104      0.05714      0.00000     0.0300     0.0245     0.0000     7.1261     7.2780     0.1943    17.1098       1039.603    0.00000    0.00434
     0.26243      0.05591      0.00000     0.0296     0.0242     0.0000     7.1303     7.2822     0.1918    17.1098       1039.885    0.00000    0.00428
     0.26382      0.05471      0.00000     0.0292     0.0239     0.0000     7.1344     7.2863     0.1893    17.1098       1040.162    0.00000    0.00422
     0.26521      0.05355      0.00000     0.0288     0.0236     0.0000     7.1385     7.2904     0.1869    17.1098       1040.432    0.00000    0.00416
     0.26660      0.05242      0.00000     0.0284     0.0233     0.0000     7.1425     7.2944     0.1846    17.1098       1040.697    0.00000    0.00411
     0.26799      0.05133      0.00000     0.0280     0.0230     0.0000     7.1464     7.2984     0.1822    17.1098       1040.956    0.00000    0.00405
     0.26937      0.05026      0.00000     0.0276     0.0227     0.0000     7.1504     7.3023     0.1800    17.1098       1041.210    0.00000    0.00400
     0.27076      0.04923      0.00000     0.0273     0.0224     0.0000     7.1542     7.3062     0.1778    17.1098       1041.458    0.00000    0.00394
     0.27215      0.04822      0.00000     0.0269     0.0222     0.0000     7.1580     7.3100     0.1756    17.1098       1041.701    0.00000    0.00389
     0.27354      0.04724      0.00000     0.0265     0.0219     0.0000     7.1618     7.3137     0.1735    17.1098       1041.940    0.00000    0.00384
     0.27493      0.04628      0.00000     0.0262     0.0216     0.0000     7.1655     7.3174     0.1714    17.1098       1042.173    0.00000    0.00379
     0.27632      0.04536      0.00000     0.0259     0.0214     0.0000     7.1691     7.3211     0.1693    17.1098       1042.402    0.00000    0.00374
     0.27771      0.04445      0.00000     0.0255     0.0211     0.0000     7.1728     7.3247     0.1673    17.1098       1042.626    0.00000    0.00370
     0.27910      0.04357      0.00000     0.0252     0.0209     0.0000     7.1763     7.3283     0.1653    17.1098       1042.846    0.00000    0.00365
     0.28049      0.04272      0.00000     0.0249     0.0206     0.0000     7.1799     7.3318     0.1634    17.1098       1043.062    0.00000    0.00360
     0.28188      0.04188      0.00000     0.0246     0.0204     0.0000     7.1833     7.3353     0.1615    17.1098       1043.273    0.00000    0.00356
     0.28326      0.04107      0.00000     0.0243     0.0201     0.0000     7.1868     7.3387     0.1596    17.1098       1043.480    0.00000    0.00351
     0.28465      0.04028      0.00000     0.0240     0.0199     0.0000     7.1902     7.3421     0.1578    17.1098       1043.684    0.00000    0.00347
     0.28604      0.03951      0.00000     0.0237     0.0197     0.0000     7.1935     7.3455     0.1560    17.1098       1043.883    0.00000    0.00343
     0.28743      0.03876      0.00000     0.0234     0.0194     0.0000     7.1968     7.3488     0.1542    17.1098       1044.078    0.00000    0.00338
